Category,Name,Address,City,Rating
"Hepatobiliary surgeon","Dr. Fatima Khan","Comprehensive Care Center","Karachi",2.0
"Endocrinologist","Dr. Sarah Ahmed","Specialist Clinic","Islamabad",2.0
"Hepatobiliary surgeon","Dr. Aisha Ali","Healthway Clinic","Lahore",1.3
"Hepatobiliary surgeon","Dr. Fatima Khan","HealthCare Hub","Islamabad",3.3
"Psychiatrist","Dr. Ali Hassan","City General Hospital","Lahore",4.8
"Bariatric Surgeon","Dr. Sarah Ahmed","Islamabad Medical Center","Karachi",1.0
"Neurologist","Dr. Fatima Khan","Specialist Clinic","Karachi",4.4
"General physician","Dr. Ali Hassan","HealthCare Hub","Lahore",1.6
"Dermatologist","Dr. Aisha Ali","Comprehensive Care Center","Islamabad",1.0
"Gastroenterologist","Dr. Imran Khan","City General Hospital","Lahore",2.1
"Orthopedic Surgeon","Dr. Aisha Ali","Islamabad Medical Center","Islamabad",4.4
"Gastroenterologist","Dr. Bilal Ahmed","Karachi Medical Center","Karachi",1.8
"Endocrinologist","Dr. Imran Khan","Lahore Clinic","Islamabad",2.0
"Infectious Disease Specialist","Dr. Aisha Ali","Lahore Clinic","Islamabad",4.3
"Neurologist","Dr. Aisha Ali","Karachi Medical Center","Karachi",1.2
"Neurologist","Dr. Ali Hassan","Karachi Medical Center","Islamabad",2.3
"Hepatobiliary surgeon","Dr. Aisha Ali","Karachi Medical Center","Lahore",4.7
"Hepatobiliary surgeon","Dr. Imran Khan","Lahore Clinic","Karachi",4.7
"Cardiac Electrophysiologist","Dr. Ahmed Ali","Healthway Clinic","Islamabad",1.8
"Dermatologist","Dr. Aisha Ali","Karachi Clinic","Lahore",1.3
"Endocrinologist","Dr. Ali Hassan","Karachi Clinic","Islamabad",1.1
"Gastroenterologist","Dr. Imran Khan","Karachi Medical Center","Lahore",1.6
"Nephrologist","Dr. Ahmed Ali","Lahore Clinic","Islamabad",3.7
"Cardiologist","Dr. Imran Khan","City General Hospital","Lahore",3.1
"Cardiac Electrophysiologist","Dr. Ahmed Ali","Karachi Medical Center","Lahore",3.8
"Cardiologist","Dr. Aisha Ali","Islamabad Medical Center","Lahore",2.7
"Nephrologist","Dr. Fatima Khan","Lahore Clinic","Lahore",1.8
"Pediatrician","Dr. Imran Khan","Healthway Clinic","Islamabad",2.1
"Hepatobiliary surgeon","Dr. Sarah Ahmed","Lahore Clinic","Lahore",2.7
"Bariatric Surgeon","Dr. Imran Khan","Lahore Clinic","Lahore",2.8
"Hepatobiliary surgeon","Dr. Ahmed Ali","HealthCare Hub","Lahore",3.2
"Cardiac Electrophysiologist","Dr. Fatima Khan","Lahore Clinic","Lahore",2.0
"Critical Care Physician","Dr. Ali Hassan","Lahore Clinic","Lahore",2.4
"Allergist","Dr. Ali Hassan","Lahore Clinic","Karachi",4.8
"Hepatobiliary surgeon","Dr. Imran Khan","Lahore Clinic","Lahore",2.6
"General physician","Dr. Ali Hassan","Healthway Clinic","Lahore",2.3
